Gender;Age;Academic Program;Antwort 1;Antwort 2;Antwort 3
female;23;Data Science / MSc / TU Wien;90%;No, I have not created any art or copywriting passionately before.;Yes
male;21;Data Science / MSc / TU Wien;70;No, I have not created any art or copywriting passionately before.;No
female;23;Data Science / MSc / TU Wien;0;No, I have not created any art or copywriting passionately before.;No
female;24;Data Science / MSc / TU Wien;80;No, I have not created any art or copywriting passionately before.;Yes
male;22;Data Science / MSc / TU Wien;20;I have created some art or copywriting before, but I do not care much for art.;No
male;25;Data Science;90;No, I have not created any art or copywriting passionately before.;No
male;26;Data Science / MSc / TU Wien;43;I have a passion for art/copywriting, even though I do not create a lot.;No
male;43;Data Science / MSc / TU Wien;100;No, I have not created any art or copywriting passionately before.;Yes
male;23;Business Informatics / BSc/ TU Wien;50;No, I have not created any art or copywriting passionately before.;No
female;26;MSc Data Science;-;No, I have not created any art or copywriting passionately before.;Only if I really like the artist
female;22;Data Science / MSc / TU WIen;80;I have a passion for art/copywriting, even though I do not create a lot.;Yes
male;28;Data Science Msc;75;No, I have not created any art or copywriting passionately before.;Yes
male;30;Data Science / MSc / TU Wien;50;No, I have not created any art or copywriting passionately before.;Yes
male;26;Data Science / MSc / TU Wien;80;No, I have not created any art or copywriting passionately before.;No
female;30;Data Science;10;No, I have not created any art or copywriting passionately before.;No
female;23;Data Science / MSc / TU Wien;10;No, I have not created any art or copywriting passionately before.;Only if I really like the artist
male;23;Statistik und Wirtschaftsmathematik BSc TU Wien;0;No, I have not created any art or copywriting passionately before.;No
male;25;Data Science;40;I have created some art or copywriting before, but I do not care much for art.;Only if I really like the artist
male;27;Data Science;50;No, I have not created any art or copywriting passionately before.;Yes
male;25;Data Science;70;No, I have not created any art or copywriting passionately before.;No
female;33;Data Science;50;No, I have not created any art or copywriting passionately before.;Only if I really like the artist
male;24;Data Science;100;I have a passion for art/copywriting and I like to create a lot in my free-time.;No
female;32;Data Science MSc.;99;I have created some art or copywriting before, but I do not care much for art.;Only if I really like the artist
female;22;Data Science / MSc / TU Wien;90;No, I have not created any art or copywriting passionately before.;Yes
female;30;MSc;60;No, I have not created any art or copywriting passionately before.;Only if I really like the artist
male;46;Data Science;100;I have a passion for art/copywriting, even though I do not create a lot.;Yes
female;25;Data Science / MSc / TU Wien;0;No, I have not created any art or copywriting passionately before.;No
female;22;Erasmus student, Statistic;60;No, I have not created any art or copywriting passionately before.;No
male;23;Data Science / MSc / TU Wien;50;No, I have not created any art or copywriting passionately before.;No
female;22;Data Science / MSc / TU Wien;0;No, I have not created any art or copywriting passionately before.;No
male;31;Data Science / MSc / TU Wien;70;I have created some art or copywriting before, but I do not care much for art.;Only if I really like the artist
female;26;Data Science / MSc / TU Wien;85;No, I have not created any art or copywriting passionately before.;Yes
male;23;Data Science / MSc / TU Wien;80;I have a passion for art/copywriting and I like to create a lot in my free-time.;No
female;23;Data Science / MSc / University of Zagreb;40;I have a passion for art/copywriting, even though I do not create a lot.;Only if I really like the artist
male;22;Data Science / MSc / TU Wien;80;No, I have not created any art or copywriting passionately before.;No
male;23;Business Informatics / BSc / TU Wien;100;I have created some art or copywriting before, but I do not care much for art.;Yes
male;23;Data Science / MSc / TU Wien;0;No, I have not created any art or copywriting passionately before.;No
male;22;Data Science;30;No, I have not created any art or copywriting passionately before.;No
